aX,aY,aZ,gX,gY,gZ
0.274,-7.414,-3.889,0.084,0.098,-0.007
0.289,-6.993,-3.097,-0.036,0.036,0.024
0.171,-7.561,-3.734,-0.045,-0.006,-0.04
0.305,-6.843,-2.994,0.119,0.015,0.059
0.067,-7.302,-3.194,-0.131,0.028,-0.026
0.205,-7.323,-3.579,0.057,0.114,0.018
0.177,-7.118,-3.166,-0.105,0.011,-0.026
0.464,-7.45,-3.843,-0.036,0.088,0.008
0.101,-6.662,-3.292,0.048,0.105,0.04
0.079,-7.294,-3.674,-0.104,0.02,-0.028
0.281,-7.203,-3.469,0.184,0.119,0.021
0.035,-7.174,-3.087,-0.047,0.031,0.022
0.341,-7.238,-3.534,0.089,0.013,-0.006
-0.05,-6.977,-2.848,0.024,0.071,0.056
0.136,-7.056,-3.303,-0.035,-0.015,-0.033
0.208,-7.196,-3.833,0.198,0.131,0.031
0.154,-6.519,-3.109,0.064,0.114,0.075
0.338,-7.24,-4.494,0.233,0.029,0.068
0.329,-6.361,-4.028,0.682,0.341,0.226
-0.084,-6.185,-3.677,0.729,0.373,0.313
0.024,-6.302,-3.966,0.982,0.29,0.245
-0.627,-4.325,-2.31,1.011,0.396,0.385
-0.959,-5.679,-2.573,0.697,-0.147,0.171
0.134,-5.009,-2.665,1.406,0.274,0.334
-1.016,-4.638,-1.199,1.252,0.541,0.573
-1.887,-4.025,-1.386,1.67,0.416,0.464
-1.008,-3.122,-0.517,1.433,0.201,0.359
-3.589,-1.575,1.772,0.695,0.444,0.401
-1.759,-3.207,0.067,0.288,-0.508,-0.028
-2.216,-2.13,0.764,-0.138,0.292,0.077
-1.994,-3.521,-1.131,-0.006,0.054,0.022
-2.109,-2.377,-0.549,0.359,0.316,0.129
-2.21,-2.909,-1.019,0.387,-0.052,0.06
-1.963,-1.45,0.095,0.304,0.435,0.194
-2.065,-2.51,-1.154,0.366,-0.151,0.07
-1.912,-1.887,-0.375,0.411,0.179,0.141
-3.824,-1.847,1.482,-0.091,-0.007,0.038
-1.162,-2.264,0.248,0.089,0.061,-0.023
-1.856,-1.408,-0.76,0.062,-0.009,-0.039
-1.517,-2.047,-0.359,0.033,-0.156,0.003
-2.368,-1.447,-0.648,-0.012,-0.018,0.017
-1.872,-2.194,-0.43,-0.15,-0.135,-0.013
-1.926,-1.699,-0.315,0.011,-0.083,-0.017
-1.48,-1.877,-0.66,0.035,0.069,-0.07
-1.654,-1.711,-0.362,-0.195,-0.067,-0.071
-1.542,-1.894,-0.509,-0.083,0.004,-0.045
-2.218,-1.646,-0.35,-0.09,0.037,-0.036
-1.8,-2.155,-0.692,-0.043,-0.05,-0.023
